condition,metric,mean,std_sample,mean_percent,std_sample_percent,n_seeds
all_windows,accuracy,0.8090897218477953,0.017105596482466998,80.90897218477953,1.7105596482466998,10
exclude_qc_z4,accuracy,0.8178204550370518,0.015061424656932287,81.78204550370518,1.5061424656932287,10
exclude_qc_z5,accuracy,0.8117616137526203,0.015588028770705776,81.17616137526204,1.5588028770705775,10
exclude_qc_z6,accuracy,0.8094870985027363,0.01675469216017532,80.94870985027363,1.675469216017532,10
all_windows,balanced_accuracy,0.8057867664620341,0.017904720247453848,80.5786766462034,1.7904720247453847,10
exclude_qc_z4,balanced_accuracy,0.8116355183413223,0.015397473777878956,81.16355183413224,1.5397473777878956,10
exclude_qc_z5,balanced_accuracy,0.8072009006909673,0.01609815370658096,80.72009006909673,1.609815370658096,10
exclude_qc_z6,balanced_accuracy,0.8057367023384729,0.017580165322854405,80.5736702338473,1.7580165322854404,10
all_windows,sensitivity,0.8418687934734788,0.023162262611837927,84.18687934734788,2.3162262611837927,10
exclude_qc_z4,sensitivity,0.8571328735780293,0.024276253966227856,85.71328735780293,2.4276253966227856,10
exclude_qc_z5,sensitivity,0.8441709567721484,0.02384442605790721,84.41709567721483,2.3844426057907206,10
exclude_qc_z6,sensitivity,0.8411955839991425,0.0234741078409581,84.11955839991425,2.34741078409581,10
all_windows,specificity,0.7697047394505894,0.03230479042786142,76.97047394505894,3.230479042786142,10
exclude_qc_z4,specificity,0.7661381631046151,0.03024781091828716,76.61381631046152,3.024781091828716,10
exclude_qc_z5,specificity,0.770230844609786,0.030301878462855907,77.0230844609786,3.0301878462855907,10
exclude_qc_z6,specificity,0.7702778206778035,0.03195150733483625,77.02778206778035,3.1951507334836253,10
all_windows,precision,0.8265913761191082,0.020946468455869227,82.65913761191082,2.0946468455869227,10
exclude_qc_z4,precision,0.8362358154267959,0.017825034995888167,83.62358154267959,1.7825034995888167,10
exclude_qc_z5,precision,0.8316433848019414,0.019017871089878655,83.16433848019415,1.9017871089878655,10
exclude_qc_z6,precision,0.8283094556864963,0.020573072740543846,82.83094556864962,2.0573072740543847,10
all_windows,f1_score,0.828790274899038,0.014800536166884037,82.8790274899038,1.4800536166884037,10
exclude_qc_z4,f1_score,0.8408203051788318,0.013392715004108801,84.08203051788318,1.3392715004108802,10
exclude_qc_z5,f1_score,0.832506154490129,0.013748995997771584,83.2506154490129,1.3748995997771585,10
exclude_qc_z6,f1_score,0.8293025921030521,0.014617094402709334,82.93025921030521,1.4617094402709334,10
all_windows,roc_auc,0.8789785148078435,0.015408140971039482,87.89785148078435,1.5408140971039481,10
exclude_qc_z4,roc_auc,0.8869379164088492,0.014098920119135957,88.69379164088492,1.4098920119135958,10
exclude_qc_z5,roc_auc,0.8806038290111406,0.014583651420819929,88.06038290111407,1.458365142081993,10
exclude_qc_z6,roc_auc,0.8788281607931321,0.015302903247791495,87.88281607931322,1.5302903247791495,10
