metric,original_percent,original_ci_low,original_ci_high,filtered_percent,filtered_ci_low,filtered_ci_high,difference_percentage_points,difference_ci_low,difference_ci_high,n_bootstrap
accuracy,83.41666666666667,78.24791666666667,88.16666666666666,83.5,78.33333333333334,88.25,0.08333333333332416,0.0,0.2500000000000058,5000
balanced_accuracy,83.41666666666667,78.24791666666667,88.16666666666666,83.5,78.33333333333333,88.25,0.08333333333332416,0.0,0.2500000000000058,5000
sensitivity,86.0,78.83333333333333,92.16666666666666,86.0,78.83333333333333,92.16666666666666,0.0,0.0,0.0,5000
specificity,80.83333333333333,73.0,87.83333333333333,81.0,73.00000000000001,88.00000000000001,0.1666666666666594,0.0,0.5000000000000115,5000
precision,81.84950729437843,75.94349984111723,87.77321261431005,81.98435658047045,76.06183031436903,87.9682413357401,0.1348492860920203,0.0,0.44491525423728856,5000
f1_score,83.82974853210767,78.73609201073937,88.47296124625547,83.89884486051847,78.82379740956453,88.5128546801147,0.06909632841078928,0.0,0.21665438467205478,5000
roc_auc,90.24444444444445,85.06381944444445,94.62229166666665,90.15277777777777,84.92465277777778,94.59451388888888,-0.09166666666667878,-0.36944444444443364,0.09722222222222632,5000
