comparison,metric,difference,ci_95_lower,ci_95_upper
common_average_reference minus original_A1A2_same_windows,accuracy,-0.0033333333333333214,-0.023333333333333317,0.017500000000000016
common_average_reference minus original_A1A2_same_windows,sensitivity,0.0050000000000000044,-0.021666666666666678,0.034999999999999996
common_average_reference minus original_A1A2_same_windows,specificity,-0.011666666666666681,-0.04,0.020000000000000007
common_average_reference minus original_A1A2_same_windows,precision,-0.007947448093580677,-0.03021743314724537,0.015884854882462798
common_average_reference minus original_A1A2_same_windows,f1_score,-0.0017539001269240018,-0.020681093782905374,0.019319497713855854
common_average_reference minus original_A1A2_same_windows,roc_auc,-0.003541666666666643,-0.021138888888888863,0.013028472222222207
