comparison,scope,metric,mean,ci_95_lower,ci_95_upper,n_subjects
common_average_reference versus original_A1A2_same_windows,all_participants,Spearman across 342 directed connections,0.06964554642736272,0.03678888899138543,0.10292618728379788,120
common_average_reference versus original_A1A2_same_windows,all_participants,Jaccard for strongest 10%,0.06737845245482425,0.05832636503851968,0.07634394602084184,120
