condition,seed,accuracy,sensitivity,specificity,precision,f1_score,roc_auc
common_average_reference,0,0.8344641730239916,0.8880845377058633,0.7697852858058954,0.832619203436488,0.854798077859782,0.9079029525847743
common_average_reference,1,0.7915125361536933,0.857895906751763,0.7095018264325796,0.794491235026355,0.8203386192861769,0.8686190451731705
common_average_reference,2,0.8240024842287609,0.8593105609587475,0.7793966303437105,0.8344141312707738,0.8446629018769578,0.9012068312929774
common_average_reference,3,0.808323424009747,0.8234772863635887,0.791509014015993,0.8334073350266078,0.8268933915646249,0.8814000718889374
common_average_reference,4,0.7962495729862503,0.8291679849166652,0.7561689245915713,0.8093840283186419,0.8178627120363643,0.874929168420979
common_average_reference,5,0.8148232527948697,0.8363963766689275,0.7894277911894989,0.8364413745807594,0.8330296093341971,0.8715684572688751
common_average_reference,6,0.8031032477495821,0.8430955067403252,0.7531574328068602,0.8118646863329021,0.825173246076876,0.8599033761068426
common_average_reference,7,0.842717335759394,0.868629287324582,0.8103750567186543,0.8533362581814261,0.8602709092192393,0.9013653109125768
common_average_reference,8,0.7959656797349558,0.8473417539020753,0.7330440527399185,0.8132000826148278,0.8207079807136145,0.8805112127449186
common_average_reference,9,0.8256161557007724,0.882655442798223,0.7560172332269504,0.8270061137157482,0.8483826827523387,0.9032264745750046
original_A1A2_same_windows,0,0.8186465223678836,0.8292080224215853,0.8086881414106415,0.8482652661337559,0.8328615937488723,0.88755213084486
original_A1A2_same_windows,1,0.8029144027653714,0.85638338245958,0.7391926136570053,0.808885203536207,0.8275972641607338,0.8741709016508171
original_A1A2_same_windows,2,0.8042682324011873,0.8253655748876536,0.780550484138546,0.832326374111527,0.8215222654791674,0.8643917918723565
original_A1A2_same_windows,3,0.8245344484852101,0.8286490045422991,0.8237873126869681,0.8601508894990152,0.8359641444834048,0.8958033280669724
original_A1A2_same_windows,4,0.801046140257481,0.8281411740377365,0.7682386750471742,0.8239711464912821,0.8203827921131512,0.8771228875816561
original_A1A2_same_windows,5,0.8263011927430014,0.8497113062240965,0.7984479253741139,0.8487607248370921,0.8428045969852969,0.8900370037436559
original_A1A2_same_windows,6,0.8270020537370131,0.8866237553741897,0.7520022288124509,0.8168272528033764,0.8498304212070202,0.9042759394919011
original_A1A2_same_windows,7,0.8202688069902884,0.8719164449189913,0.7556008424518991,0.8226039107836829,0.8424688847246637,0.8768491536340364
original_A1A2_same_windows,8,0.788858466501675,0.8237965262793571,0.7449382583618911,0.8118946056823739,0.8106347005164419,0.8641316268724392
original_A1A2_same_windows,9,0.77705695222884,0.8188927435892989,0.725600912565203,0.7922283873127692,0.8038360855716273,0.8554503843197402
